title,land,region,variety,aufbereitung,review_text
Ninety Plus Competition Set (Panama),Panama,"Silla de Pando, Volcan",Geisha,,Yuzu Lemon / Loquat / Sidr Honey / YogurtUBO 50g.*Premium Rarities*Cup 
"La Siria, Geisha (Colombia)",Panama,Huila,Geisha,Classic Washed,Lemongrass / Lavender/ Rosemary/ Lime/Mandarine
"Inmaculada, Sudan Rume (Colombia)",Panama,Cauca,Sudan Rume,Anaerobic Natural,Vanilla / Mango / Orange / Lychee / Red Grape 
Francis Kipsang (Uganda),Panama,Sipi Falls,SL28,Gardelli Orange,Elder Flower/ Mango/ Peach/Pear / Kiwi
Hassan Al Amer (Yemen),Panama,Haraz,Yemen heirlooms,Anaerobic Natural,Rose/ Chamomile/ Hibiscus/ Blood Orange/ Cloves
"La Roca, Geisha Lot (Colombia)",Panama,Tolima,Geisha,Anaerobic Washed,Jasmine / Lemon /Honey / Peach/ Toffee
"Mzungu Project, 20/21 crop (Uganda)",Panama,Sipi falls,SL28,Gardelli Red,Cherry / Dark Chocolate / Blackberry / Prune
"Finca Villa Esperanza, Pacamara (Colombia)",Panama,Huila,Pacamara,Classic Washed,Orange Blossom/ Apricot/ Lemon / Coconut /Brown Sugar
Wosasa (Ethiopia),Panama,Guji,Ethiopia Heirlooms,Classic Natural,Jasmine / Blueberry/ Rhubarb/ Almond/ Milk Chocolate
"Duwancho, Lot 22/02 (Ethiopia)",Panama,Sidama,Ethiopia Heirlooms,Classic Natural,Orange/ Pineapple/ Lime / Peach
"Kirambo, Lot 17 (Rwanda)",Panama,Nyamasheke,Red Bourbon,Classic Natural,Hibiscus /Blood Orange / Plum /Mango
El Silencio (Colombia),Panama,Cauca,Castillo,Anaerobic Natural,Watermelon / Cherry /Mango / Pomegranate/ Dark Chocolate
El Eucalipto (Peru),Panama,Cajamarca,Caturra,Classic Washed,Apple / Toffee / Gooseberry / Maple Syrup
Finca El Vergel (Colombia),Panama,Tolima,Caturra,Classic Washed,Green Apple/ Honey/ Orange/ Marzipan
CignobiancoÂ® signature blend,Panama,Yirgacheffe,Caturra / Ethiopia Heirlooms,,Milk Chocolate / Almond / Yellow Plum / Caramel
Villamaria Decaffeinated (Colombia),Panama,Caldas,Colombia & Castillo Naranjal,Classic Natural,Brown Sugar / Guava / Honey/ Cocoa
Cascara Coffee Cherry Tea from Finca Bella Vista (Guatemala),Panama,Finca Bella Vista,September 2021,,Honey / Raspberry / Apricot / Orange
