,coffee_title,roaster,coffee_origin,coffee_region,variety,farmer,roast_level,flavor,coffee_type,altitude
140,Espresso Paladino ,Zoka Coffee Roasting Co,"Central and South America, Africa",,,,Medium,"['chocolate', 'citrus', 'complex']",Espresso,
141,Wild Child,Thou Mayest,Ethiopia,Sidamo,Ethiopian heirloom,various small holder producers,Medium-light,"['fruity', 'floral', 'bright']",Single Origin,1900 - 2000
142,French Roast Fair Trade Organic,Equator Coffees & Teas,,"Latin America, Ethiopia, Sumatra",,various small holder producers,Medium-dark,"['smoky', 'chocolate', 'bold']",,
143,Caffe Luna,Caffe Vita Coffee Roasting Co,Central and South America,,,,Very Dark,"['chocolate', 'smores', 'full bodied']",Blend,1500 - 1900
144,Watson Blend,Steadfast Coffee Roasters,"Mexico, Costa Rica",,"Bourbon, Caturra, Catimor",,Medium,"['milk chocolate', 'nutty', 'balanced']",Blend,1700
145,Organic Ethiopia Bedhatu Jibicho,Centri Coffee,Ethiopia,"Gedeb District, Gedeo Zone, Southern Nations, Nationalities, and Peoples'",Ethiopian Heirloom,Bedhatu Jibicho,Medium-light,"['blackberry', 'jasmine', 'juicy']",Single Origin,1800 – 1900
146,Thesis Blend,Ceremony Coffee Roasters,"Brazil, Peru",,,,Medium-light,"['caramel', 'baking spices', 'rich']",,
147,Eye of the Tiger Espresso,Equator Coffees & Teas,,"Latin America, Africa",,,Medium,"['chocolate', 'dried fruit', 'complex']",,
148,Driftless Organic Blend,Wonderstate Coffee,Guatemala,San Marcos,,San Fernando Cooperative,Medium-dark,"['cocoa', 'toffee', 'balanced']",Blend,
149,Espresso Classico,Tony's Coffee,Central and South America,,,,Medium,"['nutty', 'chocolate', 'balanced']",Espresso,
150,Stacey Colombia Narino,Portrait Coffee,Colombia,Narino,"Colombia, Castillo, Caturra",Buesaco Community,Medium,"['caramel', 'hazelnut', 'rich']",Single Origin,2000
151,Brazil 45 Espresso,Equator Coffees & Teas,"Brazil, Colombia",various,,various small holder producers,Medium,"['chocolate', 'baking spices', 'full bodied']",,
152,Stoker Blend,Tandem Coffee Roasters,El Salvador,Chalatenango,,,Medium,"['chocolate', 'honey', 'full bodied']",Blend,
153,Alchemistic Blend,Portola Coffee Roasters,Colombia and Costa Rica,Antioquia and Chirripo,"Typica, Caturra and Catuai",Roaster United Competition Collective and Imperio Rojo,Light,"['chocolate', 'baking spices', 'full bodied']",,1100 - 1900
154,Founders,Portrait Coffee,"Colombia, Guatemala","Huehuetenango, Narino","Bourbon, Typica, Colombia, Castillo, Caturra",,Medium,"['cocoa', 'nutty', 'dynamic']",Blend,1500 - 1800
155,Ethiopia Sidama Ardi,Equator Coffees & Tea,Ethiopia,"Guji, Borena Hagermariam",Sidama Heirloom,Nardos Coffee,Medium-light,"['lemon', 'berries', 'juicy']",Single Origin,1700
156,Deep Space Blend,Good Folks Coffee,Colombia,,,,Medium-dark,"['smoky', 'nutty', 'bold']",Blend,1100 - 1800
157,Red Cab,Barefoot Coffee Roasters,Brazil,"Carmo de Minas, Sul de Minas","Caturra, Catuai",various small holder producers,Medium,"['chocolate', 'nutty', 'full bodied']",,1100 - 1200
158,Costa Rica Tarrazu,Mela Coffee Roasting Company,Costa Rica,Tarrazú,"Caturra, Typica",various small holder producers,Medium,"['caramel', 'nutty', 'balanced']",Single Origin,1250 - 1650
159,West End Blues Blend,Tandem Coffee Roasters,"Brazil, Ethiopia",,,,Medium-light,"['toffee', 'nutty', 'rich']",Espresso,1000 - 2100
160,Double Dark Blend,Dillanos Coffee Roasters,,Central and South America,,,Very Dark,"['smoky', 'chocolate', 'bold']",,
161,Globe Trotter Blend,Good Folks Coffee,"Colombia, Peru, Tanzania",,,,Medium-dark,"['caramel', 'nutty', 'full bodied']",Blend,1150 - 1800
162,Blue Thunder Blend,Klatch Coffee,"Brazil, Colombia, Guatemala, Sumatra",,,various small holder producers,Medium-dark,"['smoky', 'baking spices', 'rich']",Blend,1200 - 1850
163,Blue Orchid Blend,Huckleberry Roasters,Brazil and Nicaragua,,,various small holder producers,Medium,"['chocolate', 'caramel', 'full bodied']",Blend,
164,Colombia Nariño,Populace Coffee,Colombia,Nariño,"Caturra, Colombia, Castillo",small holder producers,Light,"['caramel', 'grapefruit', 'balanced']",Single Origin,1800 - 2200
165,Alter Ego,Thou Mayest Coffee Roasters,"Brazil, Colombia","Carmo De Minas, Hulia","Bourbon, Catuai, Mundo Novo, Castillo, Caturra",various small holder producers,Medium,"['chocolate', 'nutty', 'rich']",Espresso,1200 - 2000
166,Fast Track Blend,Good Folks Coffee,"Colombia, Peru, Tanzania",,,,Medium-dark,"['chocolate', 'nutty', 'rich']",Espresso,1150 - 1800
167,Bright Minds,Greater Goods Coffee Roasters,Colombia,Huila,"Caturra, Castillo",Los Naranjos,Medium,"['tangerine', 'fudge', 'balanced']",Single Origin,1300 - 2100
168,Café Carmelita Organic,Tony's Coffee,Central and South America,,,,Medium-dark,"['chocolate', 'caramel', 'balanced']",Blend,
169,Aldo's Blend,1000 Faces Coffee Roasters,"Colombia, Brazil","San Agustin, Serra do Cigano","Caturra, Catuaí, Mundo Novo, Colombia, Castillo",,Medium-dark,"['dark chocolate', 'molasses', 'rich']",Blend,1300-1800
170,The Answer,Cat & Cloud Coffee,"Colombia, Brazil, Ethiopia","Huila, Mogiana, Yirgacheffe","Caturra, Yellow Bourbon, Ethiopian heirloom",various,Medium,"['chocolate', 'berries', 'balanced']",Blend,1100 - 1900
171,Destroyer Espresso Blend,Ceremony Coffee Roasters,"Colombia, Ethiopia",,,,Medium-light,"['caramel', 'citrus', 'balanced']",Espresso,
172,Santee Alley,Bixby Roasting Co.,"Brazil, Guatemala, Sumatra",,"Catuaí, Caturra, Typica, Bourbon",,Very Dark,"['dark chocolate', 'almond', 'rich']",Blend,1700 -2400 meters
173,Co-optiva Fair Trade Organic ,Colectivo Coffee,"Guatemala, Honduras",,,,Medium,"['chocolate', 'molasses', 'full bodied']",Blend,
174,Organic Decaf One Black ,Centri Coffee,South America,,various,small holder producers,Medium-dark,"['chocolate', 'caramel', 'rich']",,
175,Hidden City,Zoka Coffee Roasting Co,Central and South America,,,,Very Dark,"['smoky', 'caramel', 'bold']",Blend,
176,Costa Rica Naranjo La Rosa Washed,Brandywine Coffee Roasters,Costa Rica,Naranjo,"Caturra, Catuaí",Naranjo Coffee Growers and Multiple Services Cooperative,Light,"['melon', 'honeysuckle', 'syrupy']",Single Origin,1200-1350
177,Civitas Blend,Huckleberry Roasters,Latin America,,"Bourbon, Pache, Typica",,Medium-dark,"['chocolate', 'toasted nuts', 'rich']",Blend,
178,Decaf House Blend,Klatch Coffee,"Brazil, Costa Rica, Guatemala, Sumatra",,,,Medium-dark,"['caramel', 'chocolate', 'rich']",,1200 - 1700
179,Bird Rock Blend,Bird Rock Coffee Roasters,"Colombia, Sulawesi","Colombia, Sulawesi",,,Medium,"['fudge', 'spice', 'rich']",Blend,
180,Classic French Roast,Sisters Coffee Company,Brazil,Mogiana,"Bourbon, Mundo Novo",,Very Dark,"['dark chocolate', 'clove', 'full bodied']",Single Origin,800 - 1200
181,Kenya Mbegu Ndogo,Goshen Coffee Company,Kenya,"Kaliluni, Machakos County, Eastern Province","SL-28, SL-34, Ruiru 11",Kaliluni,Light,"['lemon', 'pineapple', 'vibrant']",Single Origin,1400 - 1600
182,Dreamer Decaf,Alma Coffee,Nicaragua,Matagalpa,"Bourbon, Typica",Selva Negra,Medium-dark,"['chocolate', 'citrus', 'balanced']",,1400
183,Italian Roast,Topeca Coffee Roasters,El Salvador,Santa Ana,Red Bourbon,Emilio Lopez Diaz,Medium-dark,"['roasty', 'chocolate', 'rich']",,1000 - 1550
184,Brazil Sul De Minas,Steadfast Coffee Roasters,Brazil,Minas Gerais,"Yellow Bourbon, Mundo Novo, Icatú, Catuaí","Cooperativa Varginha, Minasul",Medium,"['cocoa', 'pomegranate', 'balanced']",Single Origin,1080-1140
185,Dark Sumatra Mandheling,Dawson Taylor Coffee Roasters,Sumatra,Mandheling,"Typica, Catimor",,Very Dark,"['cacao', 'earthy', 'rich']",Single Origin,1200 - 1500
186,Mocha Java,Klatch Coffee,"Java, Ethiopia","East Java, Harrar",,various small holder producers,Medium,"['chocolate', 'fruity', 'balanced']",Blend,1400 - 1600
187,Antithesis Blend,Ceremony Coffee Roasters,Mexico,Chiapas,"Typica, Bourbon, Mundo Novo",,Medium,"['chocolate', 'nutty', 'full bodied']",,1200 - 1750
188,Rise & Shine,Greater Goods Coffee Roasters,"Colombia, Nicaragua",,"Caturra, Catuaí, Castillo",,Very Dark,"['dark chocolate', 'molasses', 'rich']",Blend,1400-1760
189,Howie's Blend,Dillanos Coffee Roasters,"Colombia, Guatemala, Papua New Guinea",,,,Medium-dark,"['chocolate', 'smoky', 'full bodied']",Blend,
190,Time and Temperature Espresso Blend,Tandem Coffee Roasters,"Ethiopia, Colombia",,,,Light,"['blondie', 'red berry', 'rich']",,
191,Good Vibes Brazil,Greater Goods Coffee Roasters,Brazil,Cerrado Mineiro,"Catuaí, Yellow Catuaí",Fazenda D'Barbosa,Medium,"['peanut butter', 'dried cherry', 'full bodied']",Single Origin,1200
192,Friend Zone Decaf,Cat & Cloud Coffee,Ethiopia,Sidamo,Ethiopian heirloom,small holder producers,Medium-light,"['blackberry', 'molasses', 'balanced']",,1700 - 1900
193,Slow Track,Good Folks Coffee,"Tanzania, Colombia, Peru, Guatemala",,"Typica, Bourbon, Catuaí",,Medium-dark,"['dark chocolate', 'cacao nibs', 'syrupy']",Espresso,1400-2300
194,Tony's 50th Anniversary Blend,Tony's Coffee,"Central America, Ethiopia",,,,Medium,"['citrus', 'milk chocolate', 'balanced']",Blend,
195,Decaf Espresso Blend,Temple Coffee,"Colombia, Guatemala","Antigua, Guatemala and Huila, Colombia","Colombia, Castillo, Caturra, Bourbon, Arabigo",,Medium-dark,"['chocolate', 'pecan', 'rich']",,1600-2000
196,Creamery Blend,Ruby Coffee Roasters,South America and Africa,Various,various small holder producers,,Medium-light,"['chocolate', 'nutty', 'rich']",,
197,Sage Hills Blend,Mela Coffee Roasting Company,"Honduras, Sumatra",Mandheling,"Catuaí, Bourbon, Pacas, Typica, Catimor, Caturra",small holder producers,Medium,"['earthy', 'baking spices', 'syrupy']",Blend,1000 - 1500
198,Big Riff,Metric Coffee Co.,,Central America,,,Medium,"['dark chocolate', 'walnut', 'balanced']",Blend,
199,Blend Forty-Eight,Cartel Roasting Co.,Colombia,Huila,"Colombia, Caturra, Castillor",,Medium-light,"['milk chocolate', 'berries', 'complex']",Blend,1230-1950
200,Moonrise Blend,Camber Coffee,"Ethiopia, Peru","Guji, Cajamarca",,,Light,"['nectarine', 'passionfruit', 'complex']",Blend,
201,Special Dark Blend,Dillanos Coffee Roasters,,"Central America, Papua New Guinea",,,Very Dark,"['smoky', 'caramel', 'full bodied']",,
202,Omission Decaf,Dillanos Coffee Roasters,,South America,,various small producers,Medium-dark,"['caramel', 'chocolate', 'full bodied']",,
203,Mass Appeal Espresso Blend,Ceremony Coffee Roasters,,,,,Medium-light,"['caramel', 'nutty', 'rich']",,
204,Black Butte Gold Decaf,Sisters Coffee Company,Colombia,Antioquia,"Typica, Caturra, Castillo, Colombia",,Medium-dark,"['dark chocolate', 'pine', 'rich']",,1300 - 1650
205,Mexican Maya Vinic,Higher Grounds Coffee,Mexico,Chiapas,Bourbon,Maya Vinic,Medium,"['cinnamon', 'roasted nuts', 'balanced']",Single Origin,1000-1300
206,Savio Blend,1000 Faces Coffee Roasters,"Ethiopia, Brazil","Sidamo, Espirito",,Catuaí and Regional Landraces,Medium-light,"['peach', 'brown sugar', 'juicy']",Blend,
207,Costa Rica,Bixby Roasting Co.,Costa Rica,,Catuaí,Finca El Indio,Very Dark,"['chocolate', 'almond', 'roasty']",Single Origin,1200
208,Queen Anne Blend,Ladro Roasting,,,,Varies Seasonally,Medium-light,"['chocolate', 'nutty', 'rich']",,
209,Riqueza Dark Blend,Temple Coffee,"Colombia, Costa Rica, Guatemala",,,,Medium-dark,"['cocoa', 'baking spices', 'full bodied']",Blend,
210,French Roast Decaf,Dillanos Coffee Roasters,,,,,Very Dark,"['smoky', 'nutty', 'bold']",,
211,Chair 6 Breakfast Blend,Evans Brothers Coffee Roasters,"Colombia, Brazil",,,,Medium-light,"['cocoa', 'walnut', 'balanced']",Blend,1600
212,Lucent Blend,Dillanos Coffee Roasters,"Brazil, Ethiopia, Papua New Guinea",,,various small holder producers,Medium,"['caramel', 'fruity', 'full bodied']",,
213,Black Diamond Blend,Evans Brothers Coffee Roasters,"Colombia, Guatemala",,"Caturra, Castillo, Colombia, Bourbon, Catuaí, Pache","FUDAM, CODECH",Very Dark,"['chocolate', 'baking spices', 'rich']",Blend,1600 - 2200
214,Breakfast Blend,Klatch Coffee,"Colombia, Kenya",,,various small holder producers,Medium-light,"['citrus', 'floral', 'bright']",Blend,1500
215,Buena Vista Dark Roast,Verve Coffee Roasters,,,,,Medium-dark,"['roasty', ""s'mores"", 'rich']",,
216,Metro French Roast Blend,Dillanos Coffee Roasters,"Nicaragua, Papua New Guinea, South America",,,,Very Dark,"['smoky', 'caramel', 'bold']",,
217,Day Tripper Blend,Good Folks Coffee,"Colombia, Peru",,,,Medium,"['chocolate', 'caramel', 'rich']",Blend,1100 - 1800
218,Unity Blend Organic,Dillanos Coffee Roasters,"Costa Rica, Guatemala, Honduras, Ethiopia",,,,Medium-dark,"['chocolate', 'herbal', 'bold']",Blend,
219,Ladro Espresso Blend,Ladro Roasting,,,,Varies Seasonally,Medium,"['chocolate', 'caramel', 'full bodied']",Espresso,
220,Women Producers Group,Spyhouse Coffee Roasters,Sumatra,,"Catimor, Tim Tim",GARMINDO cooperative,Medium,"['cocoa', 'baking spices', 'earthy']",Single Origin,1300
221,Tuscan Blend,Zoka Coffee Roasting Co,Central and South America,,,,Very Dark,"['smoky', 'chocolate', 'bold']",Blend,
222,Espresso Toro,Colectivo Coffee,"Brazil, Costa Rica, Guatemala, Sumatra",,,,Medium,"['chocolate', 'citrus', 'rich']",Espresso,
223,Bell's Blend,1000 Faces Coffee Roasters,"Brazil, Guatemala",,Various,,Medium,"['chocolate', 'nutty', 'balanced']",Blend,
224,Lake Shore Drive Blend,Passion House Coffee Roasters,"Guatemala, Ethiopia",,,,Light,"['chocolate', 'lemon curd', 'bright']",Blend,1500 - 2000
225,Heavy Feels French,Goshen Coffee Company,Various,,Various,,Medium-dark,"['cocoa', 'herbal', 'rich']",Blend,900 - 1600
226,Flatlander Signature Blend,PT's Coffee Roasting Co.,Colombia,,,,Medium,"['chocolate', 'caramel', 'balanced']",Blend,
227,El Salvador Manzano,Topeca Coffee Roasters,El Salvador,,Red Bourbon,Emilio Lopez Diaz,Light,"['nutty', 'floral', 'balanced']",,1300 - 1550
228,Pompadour Organic Espresso Blend,Noble Coffee Roasting,"Ethiopia, Peru, Guatemala",,,various small producers,Medium,"['caramel', 'raspberry', 'complex']",,1500 - 1900
229,Guatemala Huehuetenango MAM,Dawson Taylor Coffee Roasters,Guatemala,,"Bourbon, Typica, Caturra",smallholder coffee producers,Medium,"['apple', 'toffee', 'balanced']",Single Origin,1500 - 1900
230,Colombia La Pradera,Anodyne Coffee Roasters,Colombia,,"Caturra, Castillo, Colombia","Hector & Oscar Daza, La Pradera",Medium,"['cherry', 'caramel', 'complex']",Single Origin,1700
231,Peru Aroma del Valle Organic ,Cartel Roasting Co.,Peru,,"Typica, Bourbon, Caturra","Aroma del Valle, 12 smallholder producers",Light,"['vanilla', 'raspberry', 'vibrant']",Espresso,1650
232,Skyline Espresso,Camber Coffee,"Colombia, Ethiopia",,,,Medium-light,"['blackberry', 'cocoa', 'vibrant']",Espresso,1600-2400
233,Espresso Emilia,Mela Coffee Roasting Company,"Brazil, Sumatra",,,various small holder producers,Medium-light,"['cocoa', 'hazelnut', 'balanced']",Espresso,
234,Flyway Organic Blend,Wonderstate Coffee,"Colombia, Guatemala",,,"Codech Cooperative, Fudam Cooperative",Medium,"['cherry', 'citrus', 'vibrant']",Blend,
235,'66 Beach Bus,Bixby Roasting Co.,"Kenya, Nicaragua, Hawaii, US",,"Caturra, Catuaí, Typica",,Medium,"['milk chocolate', 'honey', 'balanced']",Blend,1800 - 2100
236,The Truth,Cat & Cloud Coffee,Varies seasonally,,various,small holder producers,Medium-light,"['sweet', 'juicy', 'complex']",Espresso,various
237,John Brown Signature Blend,PT's Coffee Roasting Co.,"Colombia, Ethiopia, Sumatra",,"Colombia, Castillo, Caturra, Tim-Tim, Ateng","Dafis Abafita, Santiang Exports, Granja La Esperanza",Medium,"['chocolate', 'black cherry', 'rich']",Blend,1300 - 2050
238,Night Shift,Cat & Cloud Coffee,Brazil,,Bourbon,small holder producers,Medium-dark,"['chocolate', 'nutty', 'full bodied']",Blend,1100 - 1400
239,1985 Espresso,Panther Coffee,"Brazil, Nicaragua",,,,Medium-light,"['chocolate', 'nutty', 'full bodied']",Espresso,
240,Sumatra,Dillanos Coffee Roasters,Sumatra,,"Typica, Catimor",various small holder producers,Very Dark,"['earthy', 'herbal', 'full bodied']",,
241,Cafe Malta,Kaldi's Coffee Roasting Co.,,,,,Medium-dark,"['smoky', 'chocolate', 'rich']",Blend,
242,Blue Heeler Signature Blend,Colectivo Coffee,Sumatra,,,,Medium-dark,"['earthy', 'baking spices', 'bold']",Blend,1200 - 1500
243,Black & Tan Blend,Dillanos Coffee Roasters,,,,,Medium-dark,"['smoky', 'nutty', 'rich']",,
244,After Party,Cat & Cloud Coffee,Brazil,,Yellow Bourbon,various small producers,Medium-dark,"['marshmallow', 'chocolate', 'rich']",Single Origin,1150-1350
245,Blacksmith Espresso,Quills Coffee,"Brazil, Peru and Colombia",,,various small producers,Medium,"['chocolate', 'fruity', 'rich']",,
246,Smith Bridge Road Blend,Brandywine Coffee Roasters,"Brazil, Colombia, Costa Rica",,,,Medium-dark,"['chocolate', 'nutty', 'full bodied']",Blend,1500 - 1800
247,Colossus,Metric Coffee Co.,,,,,Very Dark,"['fudge', 'smoky', 'rich']",Blend,
248,Seabright House Blend,Verve Coffee Roasters,,,,,Medium-light,"['caramel', 'cherry', 'complex']",,
249,Sumatra Kerinci,Parisi Coffee Roasters,Sumatra,,"Andung Sari, Tim-Tim, Bor-Bor, Sigara Utang, P88",,Medium,"['strawberry', 'pineapple', 'complex']",Single Origin,1200 - 1500
250,Hannah's Private Reserve Blend,Dillanos Coffee Roasters,"Brazil, Guatemala, India",,,,Medium-dark,"['chocolate', 'baking spices', 'full bodied']",,
251,The 1950 Blend,Verve Coffee Roasters,Ethiopia,,Ethiopian heirloom,various small producers,Medium,"['citrus', 'stone fruit', 'complex']",Blend,2000-2200
252,Free Bird,Passion House Coffee Roasters,Guatemala,,Typica,Covadonga,Medium-light,"['blackberry', 'grape', 'vibrant']",Single Origin,
253,Organic House Blend,Centri Coffee,"Colombia, Brazil",,"Castillo, Catuaí, Yellow Catuaí, Typica, Caturra",,Medium,"['chocolate', 'baking spices', 'balanced']",Blend,550 - 1600
254,Black Butte Gold,Sisters Coffee Company,"Brazil, Colombia, Papua New Guinea",,"Bourbon, Mundo Novo, Arusha, Typica, Colombia, Castillo",various small producers,Medium-dark,"['dark chocolate', 'nutty', 'full bodied']",Blend,800 - 1800
255,Vero Espresso,Mela Coffee Roasting Company,"Honduras, Sumatra",,,,Medium-dark,"['smoky', 'chocolate', 'bold']",Espresso,
256,Atomic Blend,Anodyne Coffe Roasting Co. ,,,,,Medium-dark,"['chocolate', 'caramel', 'bold']",,900 - 1800
257,Brazil Fazenda Rainha Pulp Natural,Cat & Cloud Coffee,Brazil,,Yellow Bourbon,Fazenda Rainha,Medium-light,"['peanut', 'grape jelly', 'full bodied']",Single Origin,1150 - 1350
258,French Roast,Klatch Coffee ,"Brazil, Colombia, Honduras",,,various small holder producers,Very Dark,"['molasses', 'smoky', 'bold']",Blend,1400 - 1800
259,Fremont Blend Fair Trade & Organic,Caffe Ladro,,,,Varies Seasonally,Medium,"['nutty', 'floral', 'balanced']",Blend,
260,Papua New Guinea,Dillanos Coffee Roasters,Papua New Guinea,,,,Medium,"['caramel', 'herbal', 'complex']",,
261,Epiphany House Blend,Case Coffee Roasters,Varies Seasonally,,,,Medium-light,"['chocolate', 'caramel', 'balanced']",,
262,Peru Cafe De Mujer,Barefoot Coffee Roasters,Peru,,"Bourbon, Catimor, Caturra, Pache, Typica",APROCCURMA Women producers,Medium,"['chocolate', 'baking spice', 'balanced']",Single Origin,1500-1800
263,Ethiopia Shakiso,Topeca Coffee Roasters,Ethiopia,,Ethiopian heirloom,Kayon Mountain Farm,Medium,"['blueberry', 'date', 'juicy']",Single Origin,1900-2200
264,Organic Ethiopia Chelchele,Dawson Taylor Coffee Roasters,Ethiopia,,Ethiopian heirloom,,Light,"['lemon', 'blueberry', 'juicy']",Single Origin,1900 - 2200
265,Brazil Canarinho,Colectivo Coffee,Brazil,,,various small holder producers,Medium,"['chocolate', 'nutty', 'full bodied']",Single Origin,
266,The Beast,Barefoot Coffee Roasters,"Brazil, Guatemala, Colombia",,"Caturra, Bourbon, Mundo Novo, Typica",various small holder producers,Medium-dark,"['chocolate', 'roasty', 'rich']",Blend,
267,Super Ego,Thou Mayest Coffee Roasters,"Brazil, El Salvador",,"Bourbon, Catuaí, Mundo Novo",small holder producers,Medium,"['molasses', 'chocolate', 'rich']",Blend,1200 - 1700
268,Method Blend,Dillanos Coffee Roasters,,,,various small holder producers,Medium,"['caramel', 'citrus', 'balanced']",,
269,French Roast Fair Trade Organic,Kaldi's Coffee Roasting Co.,,,,,Very Dark,"['smoky', 'caramel', 'bold']",,
270,Espresso Primo,Dawson Taylor Coffee Roasters,"Brazil, Sumatra, Colombia, India",,"Bourbon, Caturra, Typica, Catimor, Catuaí",,Medium,"['chocolate', 'nutty', 'rich']",Espresso,1000 - 2000
271,Del Sol Breakfast Blend,Colectivo Coffee,"Colombia, Guatemala, Papua New Guinea",,,,Medium-light,"['chocolate', 'citrus', 'balanced']",Blend,
272,Queen City,Caffe Vita Coffee Roasting Co,"Central and South America, Indonesia, Africa",,,,Medium-dark,"['smoky', 'nutty', 'rich']",Blend,1200 - 1900
273,Bassline Espresso Blend,Passion House Coffee Roasters,,,,,Medium,"['chocolate', 'nutty', 'full bodied']",,
274,Organic Decaf,Caffe Vita Coffee Roasting Co,Latin America,,,,Very Dark,"['caramel', 'nutty', 'full bodied']",,1200 - 1600
275,Terra Incognita Espresso Blend,Portola Coffee Roasters,Ethiopia and Colombia,,,various small producers,Medium,"['chocolate', 'fruity', 'rich']",,1700 - 2100
276,Peru ,Tony's Coffee,Peru,,"Bourbon, Typica, Caturra, Pache",Agraria Sangareni,Medium,"['toffee', 'hazelnut', 'balanced']",Single Origin,1000 - 2000
277,El Salvador Ayutepeque,Topeca Coffee Roasters,El Salvador,,Red Bouron and Pacas,Emilio Lopez Diaz,Light,"['nutty', 'chocolate', 'rich']",,1000 - 1100
278,Honduras Las Capucas,Mela Coffee Roasting Company,Honduras,,"Pacas, Bourbon, Caturra, Catuai",various small holder producers,Medium-dark,"['chocolate', 'roasted nuts', 'rich']",Single Origin,1450 - 1700
279,Backcountry Blend,Dawson Taylor Coffee Roasters,"Colombia, Indonesia",,"Bourbon, Typica, Caturra, Catimor",,Medium,"['chocolate', 'earthy', 'full bodied']",Blend,1350 - 1700
280,Typhoon Espresso,Higher Grounds Coffee,"Ethiopia, Peru, Sumatra",,,various small holder producers,Medium,"['roasty', 'nutty', 'full bodied']",Espresso,
281,Mexico Cristal,Quills Coffee,Mexico,,"Bourbon, Caturra, Typica, Yellow Bourbon, Maracaturra, Maragogype, Catimor",Various smallholder farmers,Medium,"['almond', 'nougat', 'balanced']",Single Origin,900 - 1700
282,East Coast Espresso,Panther Coffee ,,,,,Medium-light,"['chocolate', 'fruity', 'rich']",Espresso,
283,Decaf Equator Blend,Equator Coffees & Teas,,,,,Medium-dark,"['baking spices', 'fruity', 'rich']",,
284,Mocha Java Fair Trade Organic ,Equator Coffees & Teas,,,,various small holder producers,Medium-dark,"['chocolate', 'fruity', 'complex']",,
285,Colombia Gran Galope,Quills Coffee,Colombia,,"Caturra, Colombia, Castillo",various small holder producers,Medium-light,"['caramel', 'nutty', 'balanced']",Single Origin,1700
286,Cafe Kaldi,Kaldi's Coffee Roasting Co.,,,,various small producers,Medium,"['chocolate', 'caramel', 'rich']",,
287,Nerve Tonic Espresso,Anodyne Coffee Roasting Co. ,,,,various small producers,Medium,"['chocolate', 'nutty', 'rich']",,1200 - 1800
288,Mokha Java Organic Blend,Noble Coffee Roasting,,,,various small producers,Medium,"['dark chocolate', 'red wine', 'silky']",,
289,Tangletown,Zoka Coffee Roasting Co,Central and South America,,,,Medium,"['chocolate', 'citrus', 'bright']",Blend,
290,Signature Espresso Blend,Topeca Coffee Roasters,El Salvador,,"Red Bourbon, Pacas",Emilio Lopez Diaz,Medium-light,"['chocolate', 'nutty', 'rich']",,1000 - 1500
291,Old Crow Cuppa Joe Blend,Red Rooster Coffee,"Colombia, Nicaragua, Ethiopia",,"Ethiopian heirloom, Caturra, Catuaí, Bourbon, Colombia, Castillo","AGPROCEM, SCFCU, Alta de Jinotega",Medium,"['berries', 'chocolate', 'syrupy']",Blend,1500-2200
